Row #,Species,Count,Location,S/P,Date,LocID,SubID,Coords
79,Common Loon - Gavia immer,1,"Sandy Hook--Lot I, Proving Grounds, and North Beach Pavillion",US-NJ,01 Jan 2021,L10874116,S78434028,"40.467049, -73.998396"
80,Horned Lark - Eremophila alpestris,10,"Sandy Hook--Lot I, Proving Grounds, and North Beach Pavillion",US-NJ,01 Jan 2021,L10874116,S78434028,"40.467049, -73.998396"
81,Field Sparrow - Spizella pusilla,1,"Sandy Hook--Lot I, Proving Grounds, and North Beach Pavillion",US-NJ,01 Jan 2021,L10874116,S78434028,"40.467049, -73.998396"
82,Snow Goose - Anser caerulescens,2,Jamaica Bay Wildlife Refuge--West Pond,US-NY,26 Dec 2020,L109145,S78016205,"40.6188482,-73.8307995"
83,Orange-crowned Warbler - Leiothlypis celata,1,Jamaica Bay Wildlife Refuge--West Pond,US-NY,26 Dec 2020,L109145,S78016205,"40.6188482,-73.8307995"
84,Monk Parakeet - Myiopsitta monachus,17,Ridgefield Park--Monk Parakeet Colony,US-NJ,20 Dec 2020,L2190729,S77760285,"40.833114, -74.011545"
85,Northern Harrier - Circus hudsonius,2,Meadowlands IBA--Mill Creek Marsh,US-NJ,19 Dec 2020,L389014,S77674226,"40.7959347,-74.0498471"
86,Swamp Sparrow - Melospiza georgiana,1,Meadowlands IBA--Mill Creek Marsh,US-NJ,19 Dec 2020,L389014,S77674226,"40.7959347,-74.0498471"
87,Canvasback - Aythya valisineria,10,Richard W. DeKorte Park--Marsh Discovery Trail,US-NJ,04 Dec 2020,L1794321,S77054196,"40.785376,-74.1005132"
88,American Coot - Fulica americana,1,Richard W. DeKorte Park--Marsh Discovery Trail,US-NJ,04 Dec 2020,L1794321,S77054196,"40.785376,-74.1005132"
89,Common Eider - Somateria mollissima,3,Sandy Hook--C Lot & Beach,US-NJ,29 Nov 2020,L2445730,S76876584,"40.4173516,-73.9810753"
